feature,n_serious,n_nonserious,mean_serious,mean_nonserious,median_serious,median_nonserious,mean_diff_serious_minus_nonserious,mean_diff_ci95_low,mean_diff_ci95_high,mannwhitney_u,p_value,cohens_d,cliffs_delta,q_value_bh_fdr
mech_sum_unique_go,533,478,11.559099437148218,8.43723849372385,3.0,0.0,3.121860943424368,1.6243084066662992,4.698713663874648,141719.0,0.0009910641100563482,0.24869643194955474,0.11250755571604638,0.0021626854015679995
mech_weighted_sum,533,478,82.1842401500938,63.687029288702924,41.0,0.0,18.497210861390876,7.794542849741355,29.608684059205427,141612.0,0.0010813427007839997,0.2068248010790147,0.11166759559452691,0.0021626854015679995
mech_sum_paths,533,478,14.356472795497186,11.152719665271967,8.0,0.0,3.20375313022522,1.3328202642341853,5.14629838602055,140530.5,0.002528098454872562,0.20518437168579412,0.10317771829150542,0.0033707979398300823
mech_sum_unique_proteins,533,478,4.288930581613508,3.786610878661088,5.0,0.0,0.5023197029524202,-0.09944637207878398,1.0930313729030416,133608.5,0.15250499494096928,0.1025725444632276,0.048839363514330346,0.15250499494096928
