feature,weight,abs_weight,direction
log_faers,4.52642796918907,4.52642796918907,↑ High-signal
n_proteins,0.2021531514620086,0.2021531514620086,↑ High-signal
mean_path_score,-0.2020068127814037,0.2020068127814037,↓ Low-signal
max_path_score,-0.08684271583977093,0.08684271583977093,↓ Low-signal
theme_specificity,-0.037940046697676894,0.037940046697676894,↓ Low-signal
path_count,0.024154982320156622,0.024154982320156622,↑ High-signal
go_overlap_ratio,0.001217158225381104,0.001217158225381104,↑ High-signal
has_direct_maps_to,0.001217158225381104,0.001217158225381104,↑ High-signal
