feature,weight,abs_weight,direction
path_count,0.15399381172263707,0.15399381172263707,↑ High-signal
has_direct_maps_to,-0.15247855367542268,0.15247855367542268,↓ Low-signal
go_overlap_ratio,-0.1524785536754193,0.1524785536754193,↓ Low-signal
max_path_score,-0.12744844255523083,0.12744844255523083,↓ Low-signal
theme_specificity,-0.08259633601676389,0.08259633601676389,↓ Low-signal
mean_path_score,0.07987381215116644,0.07987381215116644,↑ High-signal
n_proteins,0.03038364173328868,0.03038364173328868,↑ High-signal
