feature,weight,abs_weight,direction
log_faers,4.52642796918907,4.52642796918907,↑ predicts High
n_proteins,0.20215315146200818,0.20215315146200818,↑ predicts High
mean_path_score,-0.20200681278140512,0.20200681278140512,↓ predicts Low
max_path_score,-0.08684271583976955,0.08684271583976955,↓ predicts Low
theme_specificity,-0.03794004669767665,0.03794004669767665,↓ predicts Low
path_count,0.0241549823201559,0.0241549823201559,↑ predicts High
go_overlap_ratio,0.0012171582253814592,0.0012171582253814592,↑ predicts High
has_direct_maps_to,0.0012171582253814592,0.0012171582253814592,↑ predicts High
