feature,weight,abs_weight,direction
path_count,0.153618751615943,0.153618751615943,↑ High-signal
has_direct_maps_to,-0.15327082842919915,0.15327082842919915,↓ Low-signal
go_overlap_ratio,-0.15327082842919712,0.15327082842919712,↓ Low-signal
max_path_score,-0.12796265784975752,0.12796265784975752,↓ Low-signal
theme_specificity,-0.08195643045705293,0.08195643045705293,↓ Low-signal
mean_path_score,0.08074951815106363,0.08074951815106363,↑ High-signal
n_proteins,0.03173391363154813,0.03173391363154813,↑ High-signal
