feature,weight,abs_weight,direction
path_count,0.15399381172263657,0.15399381172263657,↑ High-signal
go_overlap_ratio,-0.15247855367542268,0.15247855367542268,↓ Low-signal
has_direct_maps_to,-0.15247855367541904,0.15247855367541904,↓ Low-signal
max_path_score,-0.12744844255523183,0.12744844255523183,↓ Low-signal
theme_specificity,-0.08259633601676407,0.08259633601676407,↓ Low-signal
mean_path_score,0.07987381215116672,0.07987381215116672,↑ High-signal
n_proteins,0.030383641733290005,0.030383641733290005,↑ High-signal
