go_id,go_name,k,n_targets,K,N_universe,odds_ratio,p_value,fdr_bh
GO:0045937,positive regulation of phosphate metabolic process,5,11,329,34737,88.48251028806584,3.2598545594873367e-08,4.797193977210884e-07
GO:0010562,positive regulation of phosphorus metabolic process,5,11,329,34737,88.48251028806584,3.2598545594873367e-08,4.797193977210884e-07
GO:0040017,positive regulation of locomotion,6,11,720,34737,57.16302521008404,3.28414257608569e-08,4.797193977210884e-07
GO:0065009,regulation of molecular function,6,11,745,34737,55.18863328822734,4.020755196786275e-08,5.770136405212584e-07
GO:0031346,positive regulation of cell projection organization,5,11,357,34737,81.3778409090909,4.895999717727675e-08,6.905047877760756e-07
GO:0038084,vascular endothelial growth factor signaling pathway,3,11,25,34737,591.5454545454545,5.412187283497613e-08,7.503676606611944e-07
GO:0002053,positive regulation of mesenchymal cell proliferation,3,11,27,34737,542.21875,6.880512019216725e-08,9.2868487081785e-07
GO:0031401,positive regulation of protein modification process,5,11,384,34737,75.52110817941953,7.035870879627615e-08,9.2868487081785e-07
GO:0045860,positive regulation of protein kinase activity,4,11,135,34737,150.9051254089422,7.048553982686894e-08,9.2868487081785e-07
GO:0048513,animal organ development,7,11,1484,34737,39.394549763033176,7.265994099308362e-08,9.2868487081785e-07
GO:0070887,cellular response to chemical stimulus,7,11,1484,34737,39.394549763033176,7.265994099308362e-08,9.2868487081785e-07
GO:0033674,positive regulation of kinase activity,4,11,142,34737,143.22153209109732,8.637635245095065e-08,1.0870131739211942e-06
GO:0001932,regulation of protein phosphorylation,5,11,403,34737,71.87604690117253,8.943896663723254e-08,1.1085011319584276e-06
GO:0009653,anatomical structure morphogenesis,7,11,1537,34737,37.969281045751636,9.242319729814312e-08,1.1283906774609115e-06
GO:0050921,positive regulation of chemotaxis,4,11,147,34737,138.19380619380618,9.926457112457521e-08,1.194094399704449e-06
GO:0048729,tissue morphogenesis,5,11,419,34737,69.06602254428341,1.0851190917055935e-07,1.286416546398805e-06
GO:0042981,regulation of apoptotic process,7,11,1610,34737,36.16048034934498,1.2699752408088948e-07,1.4840567814023942e-06
GO:0061138,morphogenesis of a branching epithelium,4,11,159,34737,127.45069124423964,1.360283931222443e-07,1.5672003601971245e-06
GO:0048468,cell development,6,11,924,34737,44.19346405228758,1.436571776713083e-07,1.6321051574323637e-06
GO:0010975,regulation of neuron projection development,5,11,445,34737,64.93560606060606,1.46277382000237e-07,1.6391081983040257e-06
GO:0042325,regulation of phosphorylation,5,11,448,34737,64.49021820917983,1.5123200215615724e-07,1.6717267265369814e-06
GO:0010464,regulation of mesenchymal cell proliferation,3,11,35,34737,406.5703125,1.5374610827598406e-07,1.6768575542633995e-06
GO:0043067,regulation of programmed cell death,7,11,1675,34737,34.68315347721823,1.6648585779976804e-07,1.7814769851429307e-06
GO:0043406,positive regulation of MAP kinase activity,3,11,36,34737,394.2386363636364,1.6769404383374775e-07,1.7814769851429307e-06
GO:0001763,morphogenesis of a branching structure,4,11,169,34737,119.6917748917749,1.737278526318114e-07,1.8219151724720735e-06
GO:0050793,regulation of developmental process,8,11,2810,34737,30.382108018082324,2.398560664960281e-07,2.4835729416930506e-06
GO:0001657,ureteric bud development,3,11,41,34737,342.3157894736842,2.50150481902671e-07,2.5577886774548107e-06
GO:0071396,cellular response to lipid,5,11,524,34737,54.924534360950545,3.284926555530842e-07,3.317370274597813e-06
GO:0070374,positive regulation of ERK1 and ERK2 cascade,4,11,207,34737,97.17945109078114,3.912019732455942e-07,3.902478220913366e-06
GO:0030334,regulation of cell migration,6,11,1106,34737,36.68290909090909,4.1400875712351295e-07,4.080230883458236e-06
GO:0072164,mesonephric tubule development,3,11,49,34737,282.7173913043478,4.317452425229605e-07,4.204376290283116e-06
GO:0048731,system development,6,11,1123,34737,36.106356311548794,4.5280615364568814e-07,4.357593337437328e-06
GO:0072163,mesonephric epithelium development,3,11,50,34737,276.6941489361702,4.59224066803209e-07,4.367968449360755e-06
GO:0050920,regulation of chemotaxis,4,11,219,34737,91.72358803986711,4.899482197425122e-07,4.606639583326149e-06
GO:0030030,cell projection organization,6,11,1169,34737,34.63078245915735,5.730856360058927e-07,5.327091480145684e-06
GO:0048678,response to axon injury,3,11,54,34737,254.96323529411765,5.807510661623033e-07,5.337689574390608e-06
GO:0071902,positive regulation of protein serine/threonine kinase activity,3,11,55,34737,250.0528846153846,6.141497657153842e-07,5.5819389817242705e-06
GO:0051174,regulation of phosphorus metabolic process,5,11,599,34737,47.88439955106622,6.357746863109613e-07,5.714985641784246e-06
GO:0045859,regulation of protein kinase activity,4,11,243,34737,82.45546921697549,7.418204256866636e-07,6.59575117621403e-06
