source,edge_type,target,provenance,interaction_role,count
protein:NTRK3,involved_in,go:GO:0010628,GOA,,
protein:NTRK3,involved_in,go:GO:0010976,GOA,,
protein:NTRK3,involved_in,go:GO:0019227,GOA,,
protein:NTRK3,involved_in,go:GO:0022011,GOA,,
protein:NTRK3,involved_in,go:GO:0030154,GOA,,
protein:NTRK3,involved_in,go:GO:0030335,GOA,,
protein:NTRK3,involved_in,go:GO:0038179,GOA,,
protein:NTRK3,involved_in,go:GO:0042490,GOA,,
protein:NTRK3,involved_in,go:GO:0043065,GOA,,
protein:NTRK3,involved_in,go:GO:0043410,GOA,,
protein:NTRK3,involved_in,go:GO:0045471,GOA,,
protein:NTRK3,involved_in,go:GO:0048013,GOA,,
protein:NTRK3,involved_in,go:GO:0048513,GOA,,
protein:NTRK3,involved_in,go:GO:0048665,GOA,,
protein:NTRK3,involved_in,go:GO:0048678,GOA,,
protein:NTRK3,involved_in,go:GO:0048691,GOA,,
protein:NTRK3,involved_in,go:GO:0048712,GOA,,
protein:NTRK3,involved_in,go:GO:0048731,GOA,,
protein:NTRK3,involved_in,go:GO:0050927,GOA,,
protein:NTRK3,involved_in,go:GO:0051412,GOA,,
protein:NTRK3,involved_in,go:GO:0051897,GOA,,
protein:NTRK3,involved_in,go:GO:0051965,GOA,,
protein:NTRK3,involved_in,go:GO:0070306,GOA,,
protein:NTRK3,involved_in,go:GO:0071300,GOA,,
protein:NTRK3,involved_in,go:GO:0090102,GOA,,
protein:NTRK3,involved_in,go:GO:0097107,GOA,,
protein:NTRK3,involved_in,go:GO:1905606,GOA,,
protein:NTRK3,involved_in,go:GO:1990090,GOA,,
protein:NTRK3,involved_in,go:GO:2000177,GOA,,
protein:SLC22A6,involved_in,go:GO:0006820,GOA,,
protein:SLC22A6,involved_in,go:GO:0015711,GOA,,
protein:SLC22A6,involved_in,go:GO:0015732,GOA,,
protein:SLC22A6,involved_in,go:GO:0015742,GOA,,
protein:SLC22A6,involved_in,go:GO:0042908,GOA,,
protein:SLC22A6,involved_in,go:GO:0043252,GOA,,
protein:SLC22A6,involved_in,go:GO:0055085,GOA,,
protein:SLC22A6,involved_in,go:GO:0072237,GOA,,
protein:SLC22A6,involved_in,go:GO:0097254,GOA,,
protein:SLC47A2,involved_in,go:GO:0015695,GOA,,
protein:SLC47A2,involved_in,go:GO:0055085,GOA,,
protein:SLC47A2,involved_in,go:GO:1902600,GOA,,
protein:SLC47A2,involved_in,go:GO:1990961,GOA,,
protein:SLC47A1,involved_in,go:GO:0006855,GOA,,
protein:SLC47A1,involved_in,go:GO:0015695,GOA,,
protein:SLC47A1,involved_in,go:GO:0015847,GOA,,
protein:SLC47A1,involved_in,go:GO:0042908,GOA,,
protein:SLC47A1,involved_in,go:GO:0055085,GOA,,
protein:SLC47A1,involved_in,go:GO:0071934,GOA,,
protein:SLC47A1,involved_in,go:GO:0089718,GOA,,
protein:SLC47A1,involved_in,go:GO:0097638,GOA,,
protein:SLC47A1,involved_in,go:GO:0098655,GOA,,
protein:SLC47A1,involved_in,go:GO:1902475,GOA,,
protein:SLC47A1,involved_in,go:GO:1902600,GOA,,
protein:SLC47A1,involved_in,go:GO:1903826,GOA,,
protein:SLC47A1,involved_in,go:GO:1990961,GOA,,
protein:SLCO1B3,involved_in,go:GO:0006805,GOA,,
protein:SLCO1B3,involved_in,go:GO:0006811,GOA,,
protein:SLCO1B3,involved_in,go:GO:0006869,GOA,,
protein:SLCO1B3,involved_in,go:GO:0015711,GOA,,
protein:SLCO1B3,involved_in,go:GO:0015721,GOA,,
protein:SLCO1B3,involved_in,go:GO:0042167,GOA,,
protein:SLCO1B3,involved_in,go:GO:0043252,GOA,,
protein:SLCO1B3,involved_in,go:GO:0055085,GOA,,
protein:ABCG2,involved_in,go:GO:0006869,GOA,,
protein:ABCG2,involved_in,go:GO:0015711,GOA,,
protein:ABCG2,involved_in,go:GO:0015747,GOA,,
protein:ABCG2,involved_in,go:GO:0015878,GOA,,
protein:ABCG2,involved_in,go:GO:0030148,GOA,,
protein:ABCG2,involved_in,go:GO:0032218,GOA,,
protein:ABCG2,involved_in,go:GO:0046415,GOA,,
protein:ABCG2,involved_in,go:GO:0055085,GOA,,
protein:ABCG2,involved_in,go:GO:0070633,GOA,,
protein:ABCG2,involved_in,go:GO:0097744,GOA,,
protein:ABCG2,involved_in,go:GO:0140115,GOA,,
protein:ABCG2,involved_in,go:GO:0150104,GOA,,
protein:ABCG2,involved_in,go:GO:1990748,GOA,,
protein:ABCG2,involved_in,go:GO:1990962,GOA,,
protein:SLCO1B1,involved_in,go:GO:0006805,GOA,,
protein:SLCO1B1,involved_in,go:GO:0006811,GOA,,
protein:SLCO1B1,involved_in,go:GO:0006869,GOA,,
protein:SLCO1B1,involved_in,go:GO:0015711,GOA,,
protein:SLCO1B1,involved_in,go:GO:0015721,GOA,,
protein:SLCO1B1,involved_in,go:GO:0015732,GOA,,
protein:SLCO1B1,involved_in,go:GO:0042167,GOA,,
protein:SLCO1B1,involved_in,go:GO:0043252,GOA,,
protein:SLCO1B1,involved_in,go:GO:0055085,GOA,,
protein:SLCO1B1,involved_in,go:GO:0070327,GOA,,
go:GO:0001952,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0007155,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0007156,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0007158,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0010572,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0010715,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0010811,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0022407,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0022408,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0030155,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0033630,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0034112,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0061302,maps_to,tox:Cell Adhesion,ManualMapping,,
go:GO:0006915,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0008631,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0010623,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0010667,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0035602,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0042981,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0043065,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0043066,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0043068,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0043524,maps_to,tox:Cell Death,ManualMapping,,
go:GO:2001241,maps_to,tox:Cell Death,ManualMapping,,
go:GO:0001776,maps_to,tox:Immune System,ManualMapping,,
go:GO:0001819,maps_to,tox:Immune System,ManualMapping,,
go:GO:0002250,maps_to,tox:Immune System,ManualMapping,,
go:GO:0002328,maps_to,tox:Immune System,ManualMapping,,
go:GO:0002376,maps_to,tox:Immune System,ManualMapping,,
go:GO:0019221,maps_to,tox:Immune System,ManualMapping,,
go:GO:0030183,maps_to,tox:Immune System,ManualMapping,,
go:GO:0035723,maps_to,tox:Immune System,ManualMapping,,
go:GO:0035771,maps_to,tox:Immune System,ManualMapping,,
go:GO:0038043,maps_to,tox:Immune System,ManualMapping,,
go:GO:0038110,maps_to,tox:Immune System,ManualMapping,,
go:GO:0038111,maps_to,tox:Immune System,ManualMapping,,
go:GO:0038113,maps_to,tox:Immune System,ManualMapping,,
go:GO:0038154,maps_to,tox:Immune System,ManualMapping,,
go:GO:0046651,maps_to,tox:Immune System,ManualMapping,,
go:GO:0060333,maps_to,tox:Immune System,ManualMapping,,
go:GO:0060337,maps_to,tox:Immune System,ManualMapping,,
go:GO:0070102,maps_to,tox:Immune System,ManualMapping,,
go:GO:0071345,maps_to,tox:Immune System,ManualMapping,,
go:GO:0097021,maps_to,tox:Immune System,ManualMapping,,
go:GO:0098761,maps_to,tox:Immune System,ManualMapping,,
go:GO:0140105,maps_to,tox:Immune System,ManualMapping,,
go:GO:0001764,maps_to,tox:Neurological,ManualMapping,,
go:GO:0007411,maps_to,tox:Neurological,ManualMapping,,
go:GO:0007420,maps_to,tox:Neurological,ManualMapping,,
go:GO:0010976,maps_to,tox:Neurological,ManualMapping,,
go:GO:0019227,maps_to,tox:Neurological,ManualMapping,,
go:GO:0021860,maps_to,tox:Neurological,ManualMapping,,
go:GO:0022011,maps_to,tox:Neurological,ManualMapping,,
go:GO:0030182,maps_to,tox:Neurological,ManualMapping,,
go:GO:0031103,maps_to,tox:Neurological,ManualMapping,,
go:GO:0031175,maps_to,tox:Neurological,ManualMapping,,
go:GO:0035860,maps_to,tox:Neurological,ManualMapping,,
go:GO:0042551,maps_to,tox:Neurological,ManualMapping,,
go:GO:0048665,maps_to,tox:Neurological,ManualMapping,,
go:GO:0048666,maps_to,tox:Neurological,ManualMapping,,
go:GO:0048678,maps_to,tox:Neurological,ManualMapping,,
go:GO:0048691,maps_to,tox:Neurological,ManualMapping,,
go:GO:0051965,maps_to,tox:Neurological,ManualMapping,,
go:GO:0061564,maps_to,tox:Neurological,ManualMapping,,
go:GO:0150104,maps_to,tox:Neurological,ManualMapping,,
go:GO:1990138,maps_to,tox:Neurological,ManualMapping,,
go:GO:1990962,maps_to,tox:Neurological,ManualMapping,,
go:GO:0006979,maps_to,tox:Oxidative Stress,ManualMapping,,
go:GO:0050665,maps_to,tox:Oxidative Stress,ManualMapping,,
go:GO:0070989,maps_to,tox:Oxidative Stress,ManualMapping,,
drug:Pralsetinib,reported_with,tox:Other / Unmapped,FAERS,,2501.0
drug:Pralsetinib,reported_with,tox:Medication Error,FAERS,,149.0
drug:Pralsetinib,reported_with,tox:Severe Outcome,FAERS,,113.0
drug:Pralsetinib,reported_with,tox:Immune System,FAERS,,60.0
drug:Pralsetinib,reported_with,tox:Neurological,FAERS,,16.0
