reaction,toxicity_theme,count
Laboratory Test Abnormal,Other / Unmapped,3
Myocardial Infarction,Other / Unmapped,3
Somnolence,Other / Unmapped,3
Oral Pain,Other / Unmapped,3
Blood Alkaline Phosphatase Increased,Other / Unmapped,3
Sinusitis,Other / Unmapped,3
Bronchopulmonary Aspergillosis,Other / Unmapped,3
Mucosal Inflammation,Other / Unmapped,3
Fungal Foot Infection,Immune System,3
Hyperkalaemia,Other / Unmapped,3
Tumour Lysis Syndrome,Other / Unmapped,3
Palmar-Plantar Erythrodysaesthesia Syndrome,Other / Unmapped,3
Body Temperature Increased,Other / Unmapped,3
Abdominal Distension,Other / Unmapped,3
Respiratory Failure,Other / Unmapped,3
Musculoskeletal Chest Pain,Other / Unmapped,3
Enterocolitis,Other / Unmapped,3
Dysuria,Other / Unmapped,3
Dry Throat,Other / Unmapped,3
Liver Disorder,Other / Unmapped,3
Tooth Extraction,Other / Unmapped,3
Pneumonia Fungal,Immune System,3
Eye Swelling,Other / Unmapped,3
Initial Insomnia,Other / Unmapped,3
Labile Blood Pressure,Other / Unmapped,3
Pneumocystis Jirovecii Pneumonia,Immune System,3
Pneumonia Viral,Immune System,3
Emergency Care,Other / Unmapped,3
Product Use Issue,Other / Unmapped,3
Muscle Spasms,Other / Unmapped,3
Rash Macular,Other / Unmapped,3
Influenza,Other / Unmapped,3
Nocturia,Other / Unmapped,3
Rhabdomyolysis,Oxidative Stress,3
Productive Cough,Other / Unmapped,3
Electrocardiogram Qt Prolonged,Other / Unmapped,3
Loss Of Personal Independence In Daily Activities,Other / Unmapped,3
Petechiae,Other / Unmapped,3
Memory Impairment,Other / Unmapped,3
Cardiac Disorder,Other / Unmapped,3
Metastases To Lymph Nodes,Other / Unmapped,3
Pulmonary Tuberculosis,Other / Unmapped,3
Candida Infection,Immune System,3
Swelling,Other / Unmapped,3
Blood Calcium Decreased,Other / Unmapped,3
Rib Fracture,Other / Unmapped,3
Hepatitis B Reactivation,Other / Unmapped,3
Pallor,Other / Unmapped,3
Blood Glucose Decreased,Other / Unmapped,3
Renal Disorder,Other / Unmapped,3
Blood Potassium Decreased,Other / Unmapped,3
Thyroid Hormones Increased,Other / Unmapped,3
Feeling Abnormal,Other / Unmapped,3
Transfusion,Other / Unmapped,2
Prostate Infection,Immune System,2
Hydrothorax,Other / Unmapped,2
Pharyngeal Swelling,Other / Unmapped,2
Liver Function Test Abnormal,Other / Unmapped,2
Aphonia,Other / Unmapped,2
Delirium,Other / Unmapped,2
Bronchitis,Other / Unmapped,2
Skin Discolouration,Other / Unmapped,2
Odynophagia,Other / Unmapped,2
Rash Erythematous,Other / Unmapped,2
Pericardial Effusion,Other / Unmapped,2
Pulmonary Haemorrhage,Other / Unmapped,2
Blood Potassium Increased,Other / Unmapped,2
Atelectasis,Other / Unmapped,2
Colitis,Other / Unmapped,2
Keratitis,Other / Unmapped,2
Hyperphosphataemia,Other / Unmapped,2
Scab,Other / Unmapped,2
Impaired Healing,Other / Unmapped,2
Intentional Product Use Issue,Other / Unmapped,2
Spinal Operation,Other / Unmapped,2
Tremor,Other / Unmapped,2
Thyroid Cancer,Other / Unmapped,2
Urinary Incontinence,Other / Unmapped,2
Hip Arthroplasty,Other / Unmapped,2
Burning Sensation,Other / Unmapped,2
Pneumonia Bacterial,Immune System,2
Eye Discharge,Other / Unmapped,2
Choking,Other / Unmapped,2
Hospice Care,Other / Unmapped,2
Protein Total Decreased,Other / Unmapped,2
Myocardial Injury,Other / Unmapped,2
Salivary Hyposecretion,Other / Unmapped,2
Sudden Death,Severe Outcome,2
Cerebral Infarction,Other / Unmapped,2
Hepatotoxicity,Other / Unmapped,2
Hypertensive Crisis,Other / Unmapped,2
Pulmonary Thrombosis,Cell Adhesion,2
Septic Shock,Other / Unmapped,2
Diverticulitis,Other / Unmapped,2
Blood Albumin Decreased,Other / Unmapped,2
Vascular Rupture,Other / Unmapped,2
Metastases To Liver,Other / Unmapped,2
Hyperuricaemia,Other / Unmapped,2
Hypocalcaemia,Other / Unmapped,2
Cystitis Bacterial,Other / Unmapped,2
Oesophageal Disorder,Other / Unmapped,2
Dyspnoea Exertional,Other / Unmapped,2
Toothache,Other / Unmapped,2
Contrast Media Allergy,Other / Unmapped,2
Skin Fissures,Other / Unmapped,2
Influenza Like Illness,Other / Unmapped,2
Viral Infection,Immune System,2
Proteinuria,Other / Unmapped,2
Respiratory Tract Infection Viral,Immune System,2
Formication,Other / Unmapped,2
Haemorrhoidal Haemorrhage,Other / Unmapped,2
Blood Thyroid Stimulating Hormone Increased,Other / Unmapped,2
Dysstasia,Other / Unmapped,2
Urine Output Decreased,Other / Unmapped,2
Heart Rate Decreased,Other / Unmapped,2
Blood Calcitonin Increased,Other / Unmapped,2
Bacterial Infection,Immune System,2
Therapy Interrupted,Other / Unmapped,2
Coccidioidomycosis,Other / Unmapped,2
Blood Pressure Decreased,Other / Unmapped,2
Oxygen Saturation Decreased,Other / Unmapped,2
Muscle Injury,Other / Unmapped,2
Tuberculosis,Other / Unmapped,2
Ret Gene Mutation,Other / Unmapped,2
Fluid Retention,Other / Unmapped,2
Pneumonia Cytomegaloviral,Immune System,2
Haematuria,Other / Unmapped,2
Gastrooesophageal Reflux Disease,Other / Unmapped,2
Head Discomfort,Other / Unmapped,2
Onychoclasis,Other / Unmapped,2
Product Use Complaint,Other / Unmapped,2
Onychalgia,Other / Unmapped,2
Troponin Increased,Other / Unmapped,2
Lower Respiratory Tract Infection,Immune System,2
Femur Fracture,Other / Unmapped,2
Feeling Hot,Other / Unmapped,2
Vertigo,Other / Unmapped,2
Intentional Dose Omission,Other / Unmapped,2
Thirst,Other / Unmapped,2
Abscess,Other / Unmapped,2
Therapy Change,Other / Unmapped,2
Hypertransaminasaemia,Other / Unmapped,2
Head Injury,Other / Unmapped,2
Tendon Rupture,Other / Unmapped,2
Amnesia,Other / Unmapped,2
Pain Of Skin,Other / Unmapped,2
Lethargy,Other / Unmapped,2
Nervousness,Other / Unmapped,2
Orthostatic Hypotension,Other / Unmapped,2
Contusion,Other / Unmapped,2
Dermatitis Contact,Other / Unmapped,2
Catheter Site Pain,Other / Unmapped,2
Application Site Erythema,Other / Unmapped,2
Spinal Fusion Surgery,Other / Unmapped,2
Cholangitis,Other / Unmapped,2
Gangrene,Other / Unmapped,2
Upper Gastrointestinal Haemorrhage,Other / Unmapped,2
Lung Opacity,Other / Unmapped,2
Faeces Discoloured,Other / Unmapped,2
Gingival Swelling,Other / Unmapped,2
Dry Skin,Other / Unmapped,2
Agitation,Other / Unmapped,1
Staphylococcal Infection,Immune System,1
Wheezing,Other / Unmapped,1
Radiation Pneumonitis,Other / Unmapped,1
Product Prescribing Error,Other / Unmapped,1
Infrequent Bowel Movements,Other / Unmapped,1
Arthropod Bite,Other / Unmapped,1
Hunger,Other / Unmapped,1
Pleurodesis,Other / Unmapped,1
Appetite Disorder,Other / Unmapped,1
Erythema,Other / Unmapped,1
Monoparesis,Other / Unmapped,1
Knee Operation,Other / Unmapped,1
Blood Urine Present,Other / Unmapped,1
Oedema Due To Hepatic Disease,Other / Unmapped,1
Hepatic Cirrhosis,Other / Unmapped,1
Incorrect Dose Administered,Other / Unmapped,1
Blood Creatinine Abnormal,Other / Unmapped,1
Aspiration,Other / Unmapped,1
Product Storage Error,Other / Unmapped,1
Oral Candidiasis,Other / Unmapped,1
Nasal Dryness,Other / Unmapped,1
Paternal Exposure During Pregnancy,Other / Unmapped,1
Vaginal Odour,Other / Unmapped,1
Vaginal Ulceration,Other / Unmapped,1
Blood Calcitonin Decreased,Other / Unmapped,1
Respiratory Tract Oedema,Other / Unmapped,1
Hypersensitivity,Other / Unmapped,1
Hormone Replacement Therapy,Other / Unmapped,1
Blood Albumin Abnormal,Other / Unmapped,1
Upper Respiratory Tract Infection,Immune System,1
Dental Operation,Other / Unmapped,1
Early Satiety,Other / Unmapped,1
Hepatic Pain,Other / Unmapped,1
Hair Texture Abnormal,Other / Unmapped,1
Hair Colour Changes,Other / Unmapped,1
Gastrointestinal Motility Disorder,Other / Unmapped,1
Nasal Pruritus,Other / Unmapped,1
Medical Device Removal,Other / Unmapped,1
Organ Failure,Cell Death,1
Leg Amputation,Other / Unmapped,1
Paracentesis,Other / Unmapped,1
Therapeutic Response Unexpected,Other / Unmapped,1
Sleep Deficit,Other / Unmapped,1
Middle Insomnia,Other / Unmapped,1
Urine Flow Decreased,Other / Unmapped,1
Product Use In Unapproved Indication,Other / Unmapped,1
Fixed Eruption,Other / Unmapped,1
Blood Pressure Normal,Other / Unmapped,1
Cardiac Failure,Other / Unmapped,1
Erythropenia,Other / Unmapped,1
Full Blood Count Decreased,Other / Unmapped,1
Neck Pain,Other / Unmapped,1
Pharyngeal Disorder,Other / Unmapped,1
Blood Cholesterol Abnormal,Other / Unmapped,1
Tumour Excision,Other / Unmapped,1
Throat Cancer,Other / Unmapped,1
Ast/Alt Ratio Abnormal,Other / Unmapped,1
Sputum Discoloured,Other / Unmapped,1
Liver Transplant,Other / Unmapped,1
Tenoplasty,Other / Unmapped,1
Tendon Injury,Other / Unmapped,1
Exercise Tolerance Decreased,Other / Unmapped,1
Calcinosis,Other / Unmapped,1
Limb Amputation,Other / Unmapped,1
Gastric Lavage,Other / Unmapped,1
Hypercalcaemia,Other / Unmapped,1
Urinary Tract Obstruction,Other / Unmapped,1
Nephrostomy,Other / Unmapped,1
Temperature Intolerance,Other / Unmapped,1
Product Dose Omission In Error,Other / Unmapped,1
Amylase Decreased,Other / Unmapped,1
Joint Injury,Other / Unmapped,1
Endoscopy,Other / Unmapped,1
Thyroid Hormones Decreased,Other / Unmapped,1
Musculoskeletal Pain,Other / Unmapped,1
Throat Irritation,Other / Unmapped,1
Nail Bed Inflammation,Other / Unmapped,1
Nail Discolouration,Other / Unmapped,1
Micturition Urgency,Other / Unmapped,1
Lymphoedema,Other / Unmapped,1
Fungal Skin Infection,Immune System,1
Cataract,Other / Unmapped,1
Tumour Haemorrhage,Other / Unmapped,1
Restlessness,Other / Unmapped,1
Facial Pain,Other / Unmapped,1
Hyperaesthesia Teeth,Other / Unmapped,1
Product Monitoring Error,Other / Unmapped,1
Ear Congestion,Other / Unmapped,1
Haematemesis,Other / Unmapped,1
Gastric Haemorrhage,Other / Unmapped,1
Erectile Dysfunction,Other / Unmapped,1
Inappropriate Schedule Of Product Administration,Other / Unmapped,1
Stress,Other / Unmapped,1
Hypertrophic Cardiomyopathy,Other / Unmapped,1
Intervertebral Discitis,Other / Unmapped,1
Pseudomonas Infection,Immune System,1
Gallbladder Rupture,Other / Unmapped,1
Abdominal Sepsis,Immune System,1
Azotaemia,Other / Unmapped,1
Fracture,Other / Unmapped,1
Protein Urine Present,Other / Unmapped,1
Feeding Disorder,Other / Unmapped,1
Oropharyngeal Discomfort,Other / Unmapped,1
Seasonal Allergy,Other / Unmapped,1
Ear Infection,Immune System,1
Adverse Reaction,Other / Unmapped,1
Escherichia Infection,Immune System,1
Large Intestine Infection,Immune System,1
Cholecystitis Acute,Other / Unmapped,1
Muscle Swelling,Other / Unmapped,1
Infusion,Other / Unmapped,1
Musculoskeletal Discomfort,Other / Unmapped,1
Ear Pain,Other / Unmapped,1
Rhinalgia,Other / Unmapped,1
Benign Prostatic Hyperplasia,Other / Unmapped,1
Cholelithiasis,Other / Unmapped,1
Radiation Injury,Other / Unmapped,1
Pneumocystis Jirovecii Infection,Immune System,1
Herpes Virus Infection,Immune System,1
Aspergillus Infection,Immune System,1
Foot Fracture,Other / Unmapped,1
Thoracic Vertebral Fracture,Other / Unmapped,1
Muscle Disorder,Other / Unmapped,1
Immobile,Other / Unmapped,1
Coma,Other / Unmapped,1
Coagulopathy,Other / Unmapped,1
Blood Disorder,Other / Unmapped,1
Abdominal Pain Lower,Other / Unmapped,1
Tinnitus,Other / Unmapped,1
Small Cell Lung Cancer,Other / Unmapped,1
Cancer Pain,Other / Unmapped,1
Gallbladder Disorder,Other / Unmapped,1
Endodontic Procedure,Other / Unmapped,1
Emotional Disorder,Other / Unmapped,1
Exercise Lack Of,Other / Unmapped,1
Skin Hyperpigmentation,Other / Unmapped,1
Ligament Sprain,Other / Unmapped,1
Hypoacusis,Other / Unmapped,1
Oral Discomfort,Other / Unmapped,1
Brain Operation,Other / Unmapped,1
Respiratory Symptom,Other / Unmapped,1
Listless,Other / Unmapped,1
Heart Rate Abnormal,Other / Unmapped,1
Pollakiuria,Other / Unmapped,1
Brain Neoplasm Malignant,Other / Unmapped,1
Aphasia,Other / Unmapped,1
Agranulocytosis,Other / Unmapped,1
Cardiac Arrest,Cell Death,1
Blood Pressure Immeasurable,Other / Unmapped,1
Sinus Tachycardia,Other / Unmapped,1
Granulocyte Count Increased,Other / Unmapped,1
Pulmonary Fibrosis,Other / Unmapped,1
Inflammation,Other / Unmapped,1
Fungal Infection,Immune System,1
Wrong Technique In Product Usage Process,Other / Unmapped,1
Mucosal Toxicity,Other / Unmapped,1
Bronchiolitis,Other / Unmapped,1
Cerebral Disorder,Other / Unmapped,1
Biopsy,Other / Unmapped,1
Blood Creatine Phosphokinase,Other / Unmapped,1
Paraesthesia Oral,Other / Unmapped,1
Vaginal Haemorrhage,Other / Unmapped,1
Pica,Other / Unmapped,1
Bone Lesion,Other / Unmapped,1
Gingival Bleeding,Other / Unmapped,1
Musculoskeletal Stiffness,Other / Unmapped,1
Acne,Other / Unmapped,1
Mutism,Other / Unmapped,1
Monocyte Count Decreased,Other / Unmapped,1
Haematocrit Increased,Other / Unmapped,1
Joint Dislocation,Other / Unmapped,1
Onychomadesis,Other / Unmapped,1
Sleep Disorder,Other / Unmapped,1
Pernicious Anaemia,Other / Unmapped,1
Impaired Gastric Emptying,Other / Unmapped,1
Skin Exfoliation,Other / Unmapped,1
Gait Inability,Other / Unmapped,1
Mental Disorder,Other / Unmapped,1
Electrocardiogram St Segment Abnormal,Other / Unmapped,1
Enteritis,Other / Unmapped,1
Chest X-Ray Abnormal,Other / Unmapped,1
Frequent Bowel Movements,Other / Unmapped,1
High Frequency Ablation,Other / Unmapped,1
Oxygen Therapy,Other / Unmapped,1
Palpitations,Other / Unmapped,1
Visual Impairment,Other / Unmapped,1
Gene Mutation Identification Test Positive,Other / Unmapped,1
Anaphylactic Shock,Other / Unmapped,1
Sensory Loss,Other / Unmapped,1
Wrist Fracture,Other / Unmapped,1
Cushingoid,Other / Unmapped,1
Aspiration Pleural Cavity,Other / Unmapped,1
Blood Magnesium Decreased,Other / Unmapped,1
Medical Procedure,Other / Unmapped,1
Hypomania,Other / Unmapped,1
Hepatitis,Other / Unmapped,1
Hepatitis B,Other / Unmapped,1
Radiotherapy,Other / Unmapped,1
Micturition Disorder,Other / Unmapped,1
Chronic Hepatitis,Other / Unmapped,1
Drug-Induced Liver Injury,Other / Unmapped,1
Liver Abscess,Other / Unmapped,1
Blister,Other / Unmapped,1
Tumour Marker Increased,Other / Unmapped,1
Hemiparesis,Other / Unmapped,1
Subarachnoid Haemorrhage,Other / Unmapped,1
Injury,Other / Unmapped,1
Diabetes Mellitus,Other / Unmapped,1
Herpes Zoster Reactivation,Other / Unmapped,1
Erythema Multiforme,Other / Unmapped,1
Respiratory Tract Infection,Immune System,1
Choroid Melanoma,Other / Unmapped,1
Uveal Melanoma,Other / Unmapped,1
Ophthalmic Vascular Thrombosis,Cell Adhesion,1
Pulmonary Mass,Other / Unmapped,1
Circulatory Collapse,Other / Unmapped,1
Squamous Cell Carcinoma Of Lung,Other / Unmapped,1
Potentiating Drug Interaction,Other / Unmapped,1
Post Procedural Infection,Immune System,1
Vitamin D Decreased,Other / Unmapped,1
