reaction,count
Coccidioidomycosis,2
Blood Pressure Decreased,2
Oxygen Saturation Decreased,2
Muscle Injury,2
Tuberculosis,2
Ret Gene Mutation,2
Fluid Retention,2
Pneumonia Cytomegaloviral,2
Haematuria,2
Gastrooesophageal Reflux Disease,2
Head Discomfort,2
Onychoclasis,2
Product Use Complaint,2
Onychalgia,2
Troponin Increased,2
Lower Respiratory Tract Infection,2
Femur Fracture,2
Feeling Hot,2
Vertigo,2
Intentional Dose Omission,2
Thirst,2
Abscess,2
Therapy Change,2
Hypertransaminasaemia,2
Head Injury,2
Tendon Rupture,2
Amnesia,2
Pain Of Skin,2
Lethargy,2
Nervousness,2
Orthostatic Hypotension,2
Contusion,2
Dermatitis Contact,2
Catheter Site Pain,2
Application Site Erythema,2
Spinal Fusion Surgery,2
Cholangitis,2
Gangrene,2
Upper Gastrointestinal Haemorrhage,2
Lung Opacity,2
Faeces Discoloured,2
Gingival Swelling,2
Dry Skin,2
Agitation,1
Staphylococcal Infection,1
Wheezing,1
Radiation Pneumonitis,1
Product Prescribing Error,1
Infrequent Bowel Movements,1
Arthropod Bite,1
Hunger,1
Pleurodesis,1
Appetite Disorder,1
Erythema,1
Monoparesis,1
Knee Operation,1
Blood Urine Present,1
Oedema Due To Hepatic Disease,1
Hepatic Cirrhosis,1
Incorrect Dose Administered,1
Blood Creatinine Abnormal,1
Aspiration,1
Product Storage Error,1
Oral Candidiasis,1
Nasal Dryness,1
Paternal Exposure During Pregnancy,1
Vaginal Odour,1
Vaginal Ulceration,1
Blood Calcitonin Decreased,1
Respiratory Tract Oedema,1
Hypersensitivity,1
Hormone Replacement Therapy,1
Blood Albumin Abnormal,1
Upper Respiratory Tract Infection,1
Dental Operation,1
Early Satiety,1
Hepatic Pain,1
Hair Texture Abnormal,1
Hair Colour Changes,1
Gastrointestinal Motility Disorder,1
Nasal Pruritus,1
Medical Device Removal,1
Organ Failure,1
Leg Amputation,1
Paracentesis,1
Therapeutic Response Unexpected,1
Sleep Deficit,1
Middle Insomnia,1
Urine Flow Decreased,1
Product Use In Unapproved Indication,1
Fixed Eruption,1
Blood Pressure Normal,1
Cardiac Failure,1
Erythropenia,1
Full Blood Count Decreased,1
Neck Pain,1
Pharyngeal Disorder,1
Blood Cholesterol Abnormal,1
Tumour Excision,1
Throat Cancer,1
Ast/Alt Ratio Abnormal,1
Sputum Discoloured,1
Liver Transplant,1
Tenoplasty,1
Tendon Injury,1
Exercise Tolerance Decreased,1
Calcinosis,1
Limb Amputation,1
Gastric Lavage,1
Hypercalcaemia,1
Urinary Tract Obstruction,1
Nephrostomy,1
Temperature Intolerance,1
Product Dose Omission In Error,1
Amylase Decreased,1
Joint Injury,1
Endoscopy,1
Thyroid Hormones Decreased,1
Musculoskeletal Pain,1
Throat Irritation,1
Nail Bed Inflammation,1
Nail Discolouration,1
Micturition Urgency,1
Lymphoedema,1
Fungal Skin Infection,1
Cataract,1
Tumour Haemorrhage,1
Restlessness,1
Facial Pain,1
Hyperaesthesia Teeth,1
Product Monitoring Error,1
Ear Congestion,1
Haematemesis,1
Gastric Haemorrhage,1
Erectile Dysfunction,1
Inappropriate Schedule Of Product Administration,1
Stress,1
Hypertrophic Cardiomyopathy,1
Intervertebral Discitis,1
Pseudomonas Infection,1
Gallbladder Rupture,1
Abdominal Sepsis,1
Azotaemia,1
Fracture,1
Protein Urine Present,1
Feeding Disorder,1
Oropharyngeal Discomfort,1
Seasonal Allergy,1
Ear Infection,1
Adverse Reaction,1
Escherichia Infection,1
Large Intestine Infection,1
Cholecystitis Acute,1
Muscle Swelling,1
Infusion,1
Musculoskeletal Discomfort,1
Ear Pain,1
Rhinalgia,1
Benign Prostatic Hyperplasia,1
Cholelithiasis,1
Radiation Injury,1
Pneumocystis Jirovecii Infection,1
Herpes Virus Infection,1
Aspergillus Infection,1
Foot Fracture,1
Thoracic Vertebral Fracture,1
Muscle Disorder,1
Immobile,1
Coma,1
Coagulopathy,1
Blood Disorder,1
Abdominal Pain Lower,1
Tinnitus,1
Small Cell Lung Cancer,1
Cancer Pain,1
Gallbladder Disorder,1
Endodontic Procedure,1
Emotional Disorder,1
Exercise Lack Of,1
Skin Hyperpigmentation,1
Ligament Sprain,1
Hypoacusis,1
Oral Discomfort,1
Brain Operation,1
Respiratory Symptom,1
Listless,1
Heart Rate Abnormal,1
Pollakiuria,1
Brain Neoplasm Malignant,1
Aphasia,1
Agranulocytosis,1
Cardiac Arrest,1
Blood Pressure Immeasurable,1
Sinus Tachycardia,1
Granulocyte Count Increased,1
Pulmonary Fibrosis,1
Inflammation,1
Fungal Infection,1
Wrong Technique In Product Usage Process,1
Mucosal Toxicity,1
Bronchiolitis,1
Cerebral Disorder,1
Biopsy,1
Blood Creatine Phosphokinase,1
Paraesthesia Oral,1
Vaginal Haemorrhage,1
Pica,1
Bone Lesion,1
Gingival Bleeding,1
Musculoskeletal Stiffness,1
Acne,1
Mutism,1
Monocyte Count Decreased,1
Haematocrit Increased,1
Joint Dislocation,1
Onychomadesis,1
